trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.7930000000000075}",35,0,-90.49616187799784,"{0: 18, 1: 16, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.7915000000000075}",35,0,-56.3008818771041,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.7900000000000076}",20,0,-12.324627121392176,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.7885000000000076}",35,1,-15.850757016398802,"{0: 23, 1: 10, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7870000000000077}",25,0,-52.61393140500202,"{0: 14, 1: 10, 2: 0, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.7855000000000077}",25,0,-34.786313594068965,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.7840000000000078}",20,0,-8.403079302719048,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7825000000000079}",30,0,-34.695368771953355,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.7810000000000079}",20,0,-10.396418972272782,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.779500000000008}",25,0,-48.41023667100742,"{0: 14, 1: 10, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.778000000000008}",30,4,-20.52308986498843,"{0: 17, 1: 9, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.7765000000000081}",20,0,-45.757668256899635,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.7750000000000081}",30,0,-33.316268397906995,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.7735000000000082}",20,0,-16.453407944822562,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.7720000000000082}",25,0,-9.465767579072931,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.7705000000000083}",25,0,-19.299323152875456,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.7690000000000083}",25,0,-41.00633679498317,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.7675000000000084}",25,0,-34.22366442735925,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.7660000000000085}",25,0,-7.236661942535299,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.7645000000000085}",25,0,-52.17961794014175,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.7630000000000086}",20,0,-16.177643619706338,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.7615000000000086}",30,0,-59.511303842761464,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.7600000000000087}",25,0,-23.33896469923234,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.7585000000000087}",20,0,-10.967602626030763,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.7570000000000088}",25,0,-9.726518677289947,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.7555000000000088}",20,0,-20.594220043509196,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.7540000000000089}",20,0,-27.07237536844843,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.7525000000000089}",30,0,-54.25308285286851,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.751000000000009}",20,0,-32.40969923900785,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.749500000000009}",25,0,-13.79130706672504,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.7480000000000091}",25,0,-36.01749118568971,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.7465000000000092}",25,0,-70.42818397572343,"{0: 9, 1: 16, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.7450000000000092}",20,0,-16.674128016055683,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.7435000000000093}",30,0,-19.20291421076782,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.7420000000000093}",25,0,-84.30053569996495,"{0: 12, 1: 12, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.7405000000000094}",20,5,-7.426117124278074,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.7390000000000094}",25,0,-26.377209853475076,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.7375000000000095}",25,0,-31.497921399052814,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.7360000000000095}",20,0,-29.030221354003505,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.7345000000000096}",20,0,-22.683427352873906,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.7330000000000096}",20,0,-20.034994446776288,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.7315000000000097}",25,0,-24.22652357883885,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.7300000000000098}",35,0,-30.929082990239483,"{0: 22, 1: 13, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.7285000000000098}",25,0,2.7651627709438804,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.7270000000000099}",25,0,-11.202538954748354,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
